_title_norm,title,num_editions,edition_list
engineering optimization,Engineering optimization,5,['3rd ed.' '4th ed.' '5th ed.' '6th ed.' '7th ed.']
engineering physics,Engineering Physics,6,['8th ed.' '1st ed.' '2nd' '3rd' '5th ed.' '3rd imp.']
engineering thermodynamics,Engineering Thermodynamics,3,['3rd ed.' '4th ed.' '1st ed.']
english for students of science,English for students of science,2,['1st ed.' '1st']
english hindi dictionary,English Hindi Dictionary,2,['1st' '1st ed.']
enterprise resource planning,Enterprise Resource Planning,3,['1st ed.' '2nd ed.' '']
enterprise resource planning :concept and planning,Enterprise Resource Planning :Concept and Planning,2,['1st ed.' '2nd ed.']
entrepreneurship,Entrepreneurship,2,['6th' '2nd ed.']
entrepreneurship development and management,Entrepreneurship Development and Management,2,['1st ed.' '']
environment and pollution,Environment and pollution,2,['4th' '4th ed.']
environmental chemistry,Environmental Chemistry,6,['4th ed.' '5th' '1st' '4th' '9th' '1st ed.']
environmental engineering,Environmental Engineering,2,['1st' '1st ed.']
environmental engineering laboratory manual,Environmental Engineering Laboratory Manual,2,['1st ed.' '']
environmental impact assessment and management,Environmental Impact Assessment and Management,2,['1st ed.' '']
environmental science,Environmental Science,2,['1st ed.' '6th ed.']
environmental studies,Environmental Studies,2,['1st' '3rd']
essential of management,Essential of Management,3,['4th' '5th' '6th']
essentials of physical chemistry,Essentials of Physical Chemistry,3,['1st ed.' '24th rep' '24th']
essentials of vlsi:: circuits & systems,Essentials of VLSI:: circuits & systems,2,['1st ed.' '']
ethics in engineering,Ethics in Engineering,2,['1st ed.' '']
everyday dialogues in english,Everyday dialogues in english,2,['1st ed.' '11th pri.']
exercise workbook for advanced auto cad,Exercise Workbook For Advanced Auto cad,2,['1st ed.' '']
exercise workbook for beaning  auto cad,Exercise Workbook For Beaning  Auto cad,2,['1st ed.' '']
experimental methods for engineers,Experimental Methods for engineers,3,['6th' '1st ed.' '7th ed.']
